Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1630640685.3584607,0,0,8.0,26.4
1630640700.7947571,0,0,8.0,31.6
1630640717.063187,0,0,7.0,29.4
1630640732.7450273,0,0,7.0,29.2
1630640748.2849078,0,0,6.0,31.2
1630640763.965825,0,0,6.0,29.4
1630640779.5412698,0,0,6.0,21.4
1630640795.2314718,0,0,5.0,29.2
1630640811.5414176,0,0,5.0,29.2
1630640827.5460255,0,0,5.0,28.2
1630640843.3318913,0,0,6.0,26.0
1630640859.0938656,0,0,6.0,32.8
1630640874.8456519,0,0,5.0,27.6
1630640890.6379929,0,0,5.0,27.0
1630640907.328227,0,0,5.0,29.6
1630640923.4170716,0,0,5.0,29.6
1630640939.532663,0,0,5.5,29.4
1630640955.6380622,0,0,7.0,27.6
1630640971.5625632,0,0,6.0,27.8
1630640987.9086533,0,0,6.0,27.6
1630641004.6518178,0,0,6.0,24.4
1630641020.9366457,0,0,5.0,28.6
1630641037.3904824,0,0,5.0,28.6
1630641053.771613,0,0,6.0,22.6
1630641070.0589628,0,0,6.5,26.2
1630641086.2320855,0,0,7.0,28.2
1630641103.3865747,0,0,6.5,32.0
